id,home_section_id,concert_id,section_title,concert_title,sorted_index,created_at,updated_at
166,1,12,9월의 인기 콘서트,크리스토퍼 내한공연 CHRISTOPHER LIVE [서울],4,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
4,1,12,9월의 인기 콘서트,크리스토퍼 내한공연 CHRISTOPHER LIVE [서울],4,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
171,1,22,9월의 인기 콘서트,SEKAI NO OWARI ASIA TOUR: Phoenix in Seoul,5,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
175,1,22,9월의 인기 콘서트,SEKAI NO OWARI ASIA TOUR: Phoenix in Seoul,5,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
174,1,22,9월의 인기 콘서트,SEKAI NO OWARI ASIA TOUR: Phoenix in Seoul,5,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
173,1,22,9월의 인기 콘서트,SEKAI NO OWARI ASIA TOUR: Phoenix in Seoul,5,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
172,1,22,9월의 인기 콘서트,SEKAI NO OWARI ASIA TOUR: Phoenix in Seoul,5,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
5,1,22,9월의 인기 콘서트,SEKAI NO OWARI ASIA TOUR: Phoenix in Seoul,5,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
6,2,40,9월의 최신 콘서트,트래비스 스캇 첫 단독 내한공연 [고양],1,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
176,2,40,9월의 최신 콘서트,트래비스 스캇 첫 단독 내한공연 [고양],1,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
177,2,40,9월의 최신 콘서트,트래비스 스캇 첫 단독 내한공연 [고양],1,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
178,2,40,9월의 최신 콘서트,트래비스 스캇 첫 단독 내한공연 [고양],1,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
179,2,40,9월의 최신 콘서트,트래비스 스캇 첫 단독 내한공연 [고양],1,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
180,2,40,9월의 최신 콘서트,트래비스 스캇 첫 단독 내한공연 [고양],1,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
185,2,37,9월의 최신 콘서트,오아시스 내한공연 [고양],2,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
7,2,37,9월의 최신 콘서트,오아시스 내한공연 [고양],2,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
181,2,37,9월의 최신 콘서트,오아시스 내한공연 [고양],2,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
182,2,37,9월의 최신 콘서트,오아시스 내한공연 [고양],2,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
183,2,37,9월의 최신 콘서트,오아시스 내한공연 [고양],2,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
184,2,37,9월의 최신 콘서트,오아시스 내한공연 [고양],2,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
187,2,32,9월의 최신 콘서트,녹황색사회 아시아 투어,3,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
190,2,32,9월의 최신 콘서트,녹황색사회 아시아 투어,3,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
188,2,32,9월의 최신 콘서트,녹황색사회 아시아 투어,3,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
189,2,32,9월의 최신 콘서트,녹황색사회 아시아 투어,3,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
186,2,32,9월의 최신 콘서트,녹황색사회 아시아 투어,3,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
8,2,32,9월의 최신 콘서트,녹황색사회 아시아 투어,3,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
9,2,33,9월의 최신 콘서트,Novelbright LIVE TOUR [서울],4,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
193,2,33,9월의 최신 콘서트,Novelbright LIVE TOUR [서울],4,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
194,2,33,9월의 최신 콘서트,Novelbright LIVE TOUR [서울],4,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
195,2,33,9월의 최신 콘서트,Novelbright LIVE TOUR [서울],4,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
192,2,33,9월의 최신 콘서트,Novelbright LIVE TOUR [서울],4,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
191,2,33,9월의 최신 콘서트,Novelbright LIVE TOUR [서울],4,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
10,2,34,9월의 최신 콘서트,yama Asia Tour: 호시탐탐 [서울],5,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
196,2,34,9월의 최신 콘서트,yama Asia Tour: 호시탐탐 [서울],5,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
197,2,34,9월의 최신 콘서트,yama Asia Tour: 호시탐탐 [서울],5,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
198,2,34,9월의 최신 콘서트,yama Asia Tour: 호시탐탐 [서울],5,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
199,2,34,9월의 최신 콘서트,yama Asia Tour: 호시탐탐 [서울],5,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
200,2,34,9월의 최신 콘서트,yama Asia Tour: 호시탐탐 [서울],5,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
