artist_name,concert_title,category,content
SEKAI NO OWARI (세카이 노 오와리),SEKAI NO OWARI ASIA TOUR: Phoenix in Seoul,공연장 이동 정보,고려대학교 화정체육관은 지대가 높아 도보 이동은 추천하지 않아요. 성북20 버스를 이용해 아이스링크장에서 하차하거나 성신여대역에서 택시를 잡는 걸 추천드려요.
SEKAI NO OWARI (세카이 노 오와리),SEKAI NO OWARI ASIA TOUR: Phoenix in Seoul,공연장 주차 정보,고려대학교 화정체육관에서 열리는 공연의 경우 고려대학교 내 어느 주차장을 이용하던 6천원의 주차 비용이 발생해요. 출차 시 티켓을 제시해야 하니 유의하세요.
SEKAI NO OWARI (세카이 노 오와리),SEKAI NO OWARI ASIA TOUR: Phoenix in Seoul,공연장 편의시설,"고려대학교 화정체육관 주변에는 편의점, 자판기, ATM이 위치하지 않아요. 필요한 물품이 있다면 공연장으로 올라오기 전 준비하시는 것을 추천드려요."
SEKAI NO OWARI (세카이 노 오와리),SEKAI NO OWARI ASIA TOUR: Phoenix in Seoul,공연장 화장실 정보,고려대학교 화정체육관은 화장실이 매우 협소하고 구변 화장실은 외부인이 출입할 수 없어요. 체육관으로 출발하기 전 지하철 역 또는 근처 건물에서 화장실을 방문하는 것을 추천드려요.
TAKANE NO NADESHIKO (타카네노나데시코),TAKANE NO NADESHIKO LIVE SUMMER in SEOUL,공연장 주차 정보,예스24 원더로크홀에 주차 공간은 따로 제공되지 않으므로 대중교통 이용이 권장됩니다.
TAKANE NO NADESHIKO (타카네노나데시코),TAKANE NO NADESHIKO LIVE SUMMER in SEOUL,공연장 편의시설,화장실은 CGV 방향의 에스컬레이터를 사용하면 이용할 수 있어요.
toconoma (토코노마),toconoma ISLAND World Tour [서울],공연장 편의시설,"공연장인 홍대 상상마당의 건물 주차장은 이용할 수 없지만 30분에 2,000원, 1시간에 4,000원으로 근처 LG팰리스 공영주차장을 이용할 수 있어요."
toe (토),toe New Album Release Tour: NOW WE SEE THE LIGHT [서울],공연장 편의시설,무신사 개러지 공연장 내에는 유료 물품보관함이 비치되어 있어 개인 소지품을 보관할 수 있어요. 500원 동전 2개를 투입해야 이용할 수 있으니 준비하세요.
Travis Scott (트래비스 스캇),트래비스 스캇 첫 단독 내한공연 [고양],공연장 대중교통 정보,3호선 대화역에서 하차해 2번 출구로 나온 후 5~6분 정도 걸으면 고양종합운동장이 위치해 있어요.
Travis Scott (트래비스 스캇),트래비스 스캇 첫 단독 내한공연 [고양],공연장 주차 정보,"고양종합운동장은 자체 주차장을 24시간 운영해요. 주차 가능 대수는 약 1,000대로, 최초 1시간 1,000원, 이후 5분당 170원이 부과돼요."
"Tyler, The Creator (타일러, 더 크리에이터)","타일러, 더 크리에이터 내한공연 [고양]",공연장 대중교통 정보,3호선 대화역에서 하차해 2번 출구로 나온 후 5~6분 정도 걸으면 고양종합운동장이 위치해 있어요.
"Tyler, The Creator (타일러, 더 크리에이터)","타일러, 더 크리에이터 내한공연 [고양]",공연장 주차 정보,"고양종합운동장은 자체 주차장을 24시간 운영해요. 주차 가능 대수는 약 1,000대로, 최초 1시간 1,000원, 이후 5분당 170원이 부과돼요."
yama (야마),yama Asia Tour: 호시탐탐 [서울],공연장 편의시설,예스24 원더로크홀에는 물품보관소와 동전교환기가 있으며 공연장 내 식음료 판매는 공연별로 다를 수 있어요. 주차장이 없으니 대중교통 이용을 권장해요.
