concert_title,category,content,img_url
ASCA ASIA TOUR [서울],공연장 편의시설,"무신사 개러지 공연장 내에는 유료 물품보관함이 비치되어 있어 개인 소지품을 보관할 수 있었어요. 공연장 내에 별도의 카페나 굿즈샵은 상시 운영되지 않았으며, 굿즈 판매 여부는 공연 당일 현장 또는 아티스트 공식 SNS를 통해 안내되었어요.",
Jacky Cheung 60+ Concert Tour [인천],공연장 편의시설,"공연장 내에서는 관객 여러분들을 위해 굿즈 판매 부스가 운영될 예정이었어요. 그 외 공연장 내 직접적으로 언급된 편의시설 정보는 확인되지 않았지만, 인스파이어 리조트 내 다양한 식음료 매장과 편의시설이 마련되어 있으니 공연 전후로 이용하시면 좋을 것 같어요.",
"SCANDAL TOUR: LOVE, SPARK, JOY! [서울]",공연장 편의시설,"공연장인 예스24 라이브홀은 지하철 5호선 광나루역 2번 출구에서 도보 약 3분 거리에 위치하고 있어 대중교통 이용이 매우 편리합니다.",
"SCANDAL TOUR: LOVE, SPARK, JOY! [서울]",공연장 주차 정보,"공연장 주변 주차 공간이 협소하므로 가급적 대중교통 이용을 권장하며, 차량 이용 시에는 인근 유료 공영주차장을 이용하셔야 해요. 공연장 내에는 유료 물품보관함(락커)이 운영되어 개인 소지품을 편리하게 보관하실 수 있어요. 콘서트 공식 굿즈샵 운영 여부 및 위치는 공연 당일 현장에서 안내될 예정이에요.",
"SCANDAL TOUR: LOVE, SPARK, JOY! [서울]",물품보관함 정보,"공연장 내에는 유료 물품보관함(락커)이 운영되어 개인 소지품을 편리하게 보관하실 수 있어요.",
Elijah Woods: Give Me The Sunlight [서울],공연장 편의시설,"무신사 개러지 공연장 내에는 유료 물품보관함이 비치되어 있어 개인 소지품을 보관할 수 있어요. 120개의 물품 보관함이 있고, 500원 동전 2개를 투입해야 이용할 수 있으니 사용을 원하신다면 꼭 동전을 챙겨 가세요!",https://ticketimage.yes24.com/image/upload/v1689823867/event/2023/20230719/20230719-2.gif
Minami Earthtication [서울],공연장 편의시설,"공연장인 예스24 라이브홀은 지하철 5호선 광나루역 2번 출구에서 도보 약 3분 거리에 위치하고 있어 대중교통 이용이 매우 편리합니다.",
Minami Earthtication [서울],공연장 주차 정보,"공연장 주변 주차 공간이 협소하므로 가급적 대중교통 이용을 권장하며, 차량 이용 시에는 인근 유료 공영주차장을 이용하셔야 해요.",
Minami Earthtication [서울],물품보관함 정보,"공연장 내에는 유료 물품보관함(락커)이 운영되어 개인 소지품을 편리하게 보관하실 수 있어요.",
Novelbright LIVE TOUR 2024 - CIRCUS - in SEOUL,공연장 위치,잠실학생체육관이 위치한 종합운동장역은 지하철 2호선과 9호선을 이용해 방문할 수 있어요. 8번 출구로 나가면 빠른 입장이 가능해요,https://ticketimage.interpark.com/Play/image/L/20/20005708_L_1.jpg
Novelbright LIVE TOUR 2024 - CIRCUS - in SEOUL,공연장 주차 정보,"잠실학생체육관 주차료는 승용차 기준 5분에 300원으로, 1일 주차는 16,900원이예요. 주차대수는 90대로 당일은 주차가 어려울 수 있으니 대중교통 이용을 추천해요.",
Novelbright LIVE TOUR 2024 - CIRCUS - in SEOUL,공연장 편의시설,"잠실학생체육관 본관 2층 로비에는 구내 매점이 위치하고 있어요. 운영 여부가 확실하지 않으니 외부 편의점에서 필요한 물건을 사오는 것을 권장드려요.",
yama Asia Tour: 호시탐탐 [서울],공연장 편의시설,예스24 원더로크홀에는 물품보관소와 동전교환기가 있으며 공연장 내 식음료 판매 여부 및 반입 가능 여부는 공연별로 다를 수 있어요. 주차 공간은 따로 제공되지 않으므로 대중교통 이용이 권장되며 화장실은 CGV 방향의 에스컬레이터를 사용하면 이용할 수 있어요.,
크리스토퍼 내한공연 CHRISTOPHER LIVE [서울],공연장 주차 정보,"공연장인 올림픽공원 주차요금(주차비)은 10분당 600원이고 일 최대 20,000원이예요, 주차 공간은 충분하나 올림픽공원을 이용하는 시민들로 혼잡할 수 있으니 대중교통 이용을 권장드려요.",
크리스토퍼 내한공연 CHRISTOPHER LIVE [서울],공연장 주차 정보,"공연장 주변에는 여러 편의점을 쉽게 찾을 수 있지만 공연장인 KSPO DOME과 가장 가까운 편의점은 CU 올림픽공원1호점이예요. 핸드볼경기장과 KSPO DOME 사이에 위치하고 있으니 공연 전 이용하시는 것을 추천드려요.",
TAKANE NO NADESHIKO LIVE SUMMER in SEOUL,공연장 편의시설,예스24 원더로크홀에는 물품보관소와 동전교환기가 있으며 공연장 내 식음료 판매 여부 및 반입 가능 여부는 공연별로 다를 수 있어요. 주차 공간은 따로 제공되지 않으므로 대중교통 이용이 권장되며 화장실은 CGV 방향의 에스컬레이터를 사용하면 이용할 수 있어요.,
TAKANE NO NADESHIKO LIVE SUMMER in SEOUL,공연장 주차 정보,예스24 원더로크홀에 주차 공간은 따로 제공되지 않으므로 대중교통 이용이 권장됩니다.,
TAKANE NO NADESHIKO LIVE SUMMER in SEOUL,공연장 편의시설,화장실은 CGV 방향의 에스컬레이터를 사용하면 이용할 수 있어요.,
"제이크 첫 단독 내한공연, JVKE LIVE IN SEOUL",공연장 주차 정보,"공연장인 올림픽공원 주차요금(주차비)은 10분당 600원이고 일 최대 20,000원이예요, 주차 공간은 충분하나 올림픽공원을 이용하는 시민들로 혼잡할 수 있으니 대중교통 이용을 권장드려요.",
"핫 밀크 첫 내한공연, Hot Milk Loud & Fast Tour Live [서울]",공연장 편의시설,롤링홀 건물에는 별도의 주차공간이 없으므로 공연장 주변 노상 공영 주차장 또는 서교동 제 4 민영 주차장을 이용하시기를 권장드려요.,
"핫 밀크 첫 내한공연, Hot Milk Loud & Fast Tour Live [서울]",공연장 편의시설,"롤링홀은 상수역 1번 출구, 합정역 5번 출구에 가까이 위치하고 있어요. 대중교통이 편리하니 이용을 권장드려요.",
"타일러, 더 크리에이터 내한공연 [고양]",공연장 주차 정보,"고양종합운동장은 자체 주차장을 24시간 운영하고 있어요. 주차 가능 대수는 약 1,000대로, 요금은 최초 1시간에 1,000원, 이후에는 5분당 170원이 부과돼요. 콘서트가 있는 날에는 최소 2~3시간 전 도착해야 주차 가능성이 높아요.",
"타일러, 더 크리에이터 내한공연 [고양]",공연장 대중교통 정보,"3호선 대화역에서 하차해 2번 출구로 나온 후 5~6분 정도 걸으면 고양종합운동장이 위치해 있어요.",
트래비스 스캇 첫 단독 내한공연 [고양],공연장 주차 정보,"고양종합운동장은 자체 주차장을 24시간 운영하고 있어요. 주차 가능 대수는 약 1,000대로, 요금은 최초 1시간에 1,000원, 이후에는 5분당 170원이 부과돼요. 콘서트가 있는 날에는 최소 2~3시간 전 도착해야 주차 가능성이 높아요.",
트래비스 스캇 첫 단독 내한공연 [고양],공연장 대중교통 정보,"3호선 대화역에서 하차해 2번 출구로 나온 후 5~6분 정도 걸으면 고양종합운동장이 위치해 있어요.",
Konomi Suzuki Asia Tour [서울],공연장 편의시설,"공연장인 웨스트브릿지 라이브홀 내에는 유료 물품보관함이 운영됩니다. 사용 시에는 동전 100원을 투입해야 하니 꼭 챙겨가셔야 해요!",
SEKAI NO OWARI ASIA TOUR: Phoenix in Seoul,공연장 주차 정보,고려대학교 화정체육관에서 열리는 공연의 경우 고려대학교 내 어느 주차장을 이용하던 6천원의 주차 비용이 발생해요. 출차 시 티켓을 제시해야 하니 유의하세요.,
SEKAI NO OWARI ASIA TOUR: Phoenix in Seoul,공연장 이동 정보,고려대학교 화정체육관은 매우 높은 지대에 위치하고 있어 도보 이동은 추천하지 않아요. 성북20 버스를 이용해 아이스링크장 앞에서 하차하거나 성신여대역에서 택시를 잡아 아이스링크장 앞에 내려 걸어가시는 것을 추천드려요.,
SEKAI NO OWARI ASIA TOUR: Phoenix in Seoul,공연장 화장실 정보,고려대학교 화정체육관은 화장실이 매우 협소하고 구변 화장실은 외부인이 출입할 수 없어요. 체육관으로 출발하기 전 지하철 역 또는 근처 건물에서 화장실을 방문하는 것을 추천드려요.,
SEKAI NO OWARI ASIA TOUR: Phoenix in Seoul,공연장 편의시설,"고려대학교 화정체육관 주변에는 편의점, 자판기, ATM이 위치하지 않아요. 필요한 물품이 있다면 공연장으로 올라오기 전 준비하시는 것을 추천드려요.",
MAISONdes LIVE: ROOM TO ROOM,공연장 편의시설,"공연장인 예스24 라이브홀은 지하철 5호선 광나루역 2번 출구에서 도보 약 3분 거리에 위치하고 있어 대중교통 이용이 매우 편리합니다.",
MAISONdes LIVE: ROOM TO ROOM,공연장 주차 정보,"공연장 주변 주차 공간이 협소하므로 가급적 대중교통 이용을 권장하며, 차량 이용 시에는 인근 유료 공영주차장을 이용하셔야 해요.",
MAISONdes LIVE: ROOM TO ROOM,물품보관함 정보,"공연장 내에는 유료 물품보관함(락커)이 운영되어 개인 소지품을 편리하게 보관하실 수 있어요.",
"Hitsujibungaku (히츠지분가쿠) Asia Tour: Right now, right here. [서울]",공연장 편의시설,"공연장인 예스24 라이브홀은 지하철 5호선 광나루역 2번 출구에서 도보 약 3분 거리에 위치하고 있어 대중교통 이용이 매우 편리합니다.",
"Hitsujibungaku (히츠지분가쿠) Asia Tour: Right now, right here. [서울]",공연장 주차 정보,"공연장 주변 주차 공간이 협소하므로 가급적 대중교통 이용을 권장하며, 차량 이용 시에는 인근 유료 공영주차장을 이용하셔야 해요.",
"Hitsujibungaku (히츠지분가쿠) Asia Tour: Right now, right here. [서울]",물품보관함 정보,"공연장 내에는 유료 물품보관함(락커)이 운영되어 개인 소지품을 편리하게 보관하실 수 있어요.",
